latitude,longitude,rainfall,soil_type,elevation,groundwater_depth,slope,land_use,borewell_suitability
16.7318,77.3364,1225.7,Sandy,760.8,14.61,10.92,Urban,High
15.9641,75.8484,942.9,Loamy,762.7,10.73,2.1,Agricultural,High
17.1405,76.0853,630.5,Loamy,778.5,21.0,10.87,Barren,Low
18.3326,79.9743,504.0,Loamy,227.6,6.81,10.59,Urban,High
15.8455,74.0867,1225.8,Clayey,384.3,11.4,5.68,Barren,Medium
16.2561,76.5506,375.4,Sandy,260.3,23.19,2.64,Urban,Low
18.8106,78.582,651.7,Loamy,628.0,22.14,1.03,Barren,Medium
17.7339,75.7785,894.2,Sandy,561.1,27.72,4.23,Agricultural,Medium
15.91,75.4739,662.3,Sandy,520.0,31.4,2.83,Agricultural,Low
15.0681,74.4037,1054.2,Clayey,608.1,5.77,12.66,Agricultural,Medium
18.2562,76.9175,897.3,Clayey,577.7,5.96,16.27,Agricultural,High
17.7936,77.2939,753.3,Rocky,589.1,15.58,0.47,Agricultural,High
17.6845,73.2098,837.2,Loamy,137.0,1.0,9.99,Agricultural,High
19.8132,74.2735,1042.4,Loamy,570.6,25.06,4.99,Agricultural,Medium
18.6703,75.8592,741.3,Loamy,697.2,11.67,8.35,Forest,Medium
20.5845,79.1008,1027.1,Rocky,615.2,4.96,9.4,Forest,Medium
15.0927,79.2018,474.5,Clayey,606.7,14.55,0.79,Forest,Medium
15.1396,73.7489,1244.5,Sandy,184.7,20.77,7.34,Barren,Low
15.2359,74.4409,541.9,Rocky,552.2,13.98,0.92,Urban,Low
17.4889,74.2748,937.0,Sandy,621.7,18.2,5.75,Agricultural,High
18.8755,74.5097,1109.1,Rocky,527.4,24.45,1.07,Forest,Low
20.1883,76.4874,1408.5,Sandy,160.3,5.44,0.67,Agricultural,High
17.2228,73.291,1291.3,Loamy,542.6,16.4,3.51,Urban,High
16.0874,79.5411,1093.6,Sandy,323.7,24.56,1.81,Agricultural,High
17.329,78.7807,706.2,Sandy,340.7,16.78,3.72,Agricultural,Low
18.6453,74.5722,572.3,Sandy,467.7,1.0,9.78,Forest,High
18.69,79.1157,654.5,Loamy,373.2,28.2,1.1,Forest,Medium
16.4548,77.9328,658.2,Rocky,397.3,26.09,3.22,Agricultural,Medium
17.3033,78.6419,707.6,Sandy,358.8,24.92,9.6,Barren,Low
18.0839,79.7998,1383.7,Rocky,409.7,30.93,0.72,Forest,Medium
16.4235,79.4767,1014.3,Loamy,365.8,16.64,0.92,Barren,High
17.1508,73.1897,917.0,Sandy,932.5,9.25,2.3,Agricultural,High
17.9527,75.5146,860.6,Sandy,590.9,10.14,2.02,Barren,Medium
20.2648,79.5242,1224.0,Clayey,552.9,7.1,11.38,Agricultural,Low
17.6409,77.4259,854.3,Sandy,570.2,1.0,6.32,Agricultural,High
17.1982,75.7872,475.9,Clayey,333.4,12.54,15.22,Barren,Medium
18.0457,74.5909,1693.3,Sandy,847.4,31.77,2.84,Agricultural,Medium
19.5052,78.2476,907.3,Sandy,799.9,15.1,0.9,Urban,Medium
20.5927,74.9191,892.3,Loamy,893.8,14.01,1.94,Agricultural,High
16.8083,73.7481,1158.7,Sandy,241.6,5.22,3.86,Agricultural,High
20.8307,77.0356,753.6,Loamy,378.5,25.18,2.94,Forest,Low
16.7667,79.1229,730.7,Clayey,467.1,14.24,0.36,Urban,Medium
18.871,73.2183,917.1,Loamy,362.7,2.85,10.43,Forest,High
16.6796,78.6666,815.6,Clayey,756.7,1.0,2.17,Agricultural,Medium
17.8438,78.8022,932.6,Sandy,638.3,4.79,2.85,Agricultural,High
17.8122,75.3583,847.2,Sandy,580.2,16.42,0.42,Agricultural,Medium
17.9665,79.6053,893.1,Loamy,627.5,30.53,2.39,Agricultural,High
19.0053,76.0162,890.0,Loamy,243.5,4.69,10.18,Agricultural,High
15.7238,77.6466,1279.7,Sandy,375.9,14.11,2.94,Agricultural,High
19.6139,79.8236,716.5,Loamy,742.8,12.76,5.23,Barren,High
19.4446,78.1631,1186.6,Sandy,413.4,19.58,5.95,Agricultural,High
15.4619,75.6578,359.4,Loamy,782.3,21.22,0.28,Forest,Medium
16.4757,79.8402,541.8,Loamy,379.7,19.0,14.06,Barren,High
15.7624,74.6147,1054.1,Rocky,550.1,22.61,16.88,Barren,Low
20.1328,78.9584,679.6,Rocky,367.3,22.8,8.18,Agricultural,Medium
16.1747,73.0447,812.5,Clayey,613.8,24.47,18.92,Urban,Low
20.916,73.9187,985.0,Sandy,455.1,9.98,4.08,Agricultural,High
15.6964,74.5413,889.3,Clayey,739.7,8.98,14.15,Agricultural,Medium
20.3225,79.6517,1098.9,Sandy,471.2,19.88,0.92,Agricultural,Medium
15.2447,76.9648,1298.5,Sandy,199.9,14.25,0.35,Forest,High
19.1745,77.9173,1084.6,Sandy,387.3,17.06,0.63,Barren,High
19.4467,73.7099,926.9,Sandy,614.1,15.41,14.48,Forest,High
15.7655,79.5166,1379.6,Loamy,187.6,14.62,3.17,Agricultural,High
18.0978,75.7737,1129.8,Sandy,588.7,14.11,7.13,Urban,Medium
18.0158,77.1739,904.4,Loamy,456.8,28.05,0.22,Agricultural,Medium
15.5472,76.0263,1289.1,Clayey,623.8,20.32,0.91,Forest,Medium
16.1091,77.1677,1647.9,Sandy,510.1,1.0,4.64,Urban,High
17.4051,75.8302,752.5,Sandy,376.7,9.94,10.09,Forest,High
18.5147,79.1661,681.6,Rocky,463.9,18.5,2.79,Agricultural,High
19.3776,77.5692,537.1,Loamy,593.1,27.62,0.74,Barren,Medium
17.149,75.9785,674.4,Loamy,409.4,15.63,7.06,Forest,Medium
